epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.811,1.39994,3.02003,1.92054,0.00586,1,0.64143,0.29746,1.43084,3.92279,2.39954,0.00013336,0.00013336,0.00013336
2,46.6919,1.23816,2.45863,1.7648,0.00586,0.875,0.49892,0.27994,1.53779,4.05095,2.37621,0.000274038,0.000274038,0.000274038
3,64.3289,1.25082,2.00337,1.77099,0.00701,0.875,0.41473,0.23957,1.60517,3.92157,2.35299,0.000404814,0.000404814,0.000404814
4,84.9995,1.1752,1.74508,1.66943,0.00708,0.875,0.418,0.21762,1.45504,3.94509,2.2454,0.000525688,0.000525688,0.000525688
5,102.865,1.16942,1.63845,1.66893,0.754,0.385,0.66624,0.34072,1.77306,3.69532,2.51885,0.000636661,0.000636661,0.000636661
6,120.301,1.12324,1.55136,1.59452,0.72813,0.75,0.73493,0.26884,2.20825,3.47293,2.84349,0.000737731,0.000737731,0.000737731
7,136.36,1.16482,1.59933,1.58464,0.75114,0.875,0.82981,0.31255,1.94713,3.23715,2.79736,0.000828899,0.000828899,0.000828899
8,151.789,1.14635,1.51677,1.60478,0.64276,0.625,0.65045,0.27962,2.20883,3.02687,3.44417,0.000910165,0.000910165,0.000910165
9,170.18,1.17241,1.46138,1.66348,0.76659,0.625,0.67558,0.23926,2.54903,3.09165,3.70849,0.00098153,0.00098153,0.00098153
10,189.618,1.17607,1.50604,1.61886,0.80563,0.625,0.63959,0.28746,2.24969,3.37363,3.05796,0.00104299,0.00104299,0.00104299
