epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8334,1.39994,3.02003,1.92054,0.00586,1,0.64143,0.29746,1.43084,3.92279,2.39954,0.00013336,0.00013336,0.00013336
2,32.402,1.23623,2.45595,1.7632,0.00592,0.875,0.51285,0.27574,1.54025,4.01673,2.34151,0.000278714,0.000278714,0.000278714
3,48.8413,1.26037,1.99364,1.7706,0.00701,0.875,0.41034,0.20882,1.61791,3.95053,2.41562,0.000419117,0.000419117,0.000419117
4,64.8801,1.17602,1.7485,1.67535,0.00694,0.875,0.31676,0.18288,1.53791,3.9359,2.36669,0.000554569,0.000554569,0.000554569
5,80.3156,1.19631,1.63281,1.6765,0.56704,0.6573,0.49061,0.23369,1.6511,3.56911,2.46964,0.00068507,0.00068507,0.00068507
6,97.7941,1.17874,1.51356,1.65092,0.59174,0.5,0.58334,0.21292,1.89128,3.57081,2.65801,0.00081062,0.00081062,0.00081062
7,114.174,1.20272,1.62777,1.61502,0.77544,0.625,0.63661,0.23928,1.9481,3.37154,2.77999,0.00093122,0.00093122,0.00093122
8,130.131,1.13761,1.568,1.61339,0.49032,0.48306,0.43898,0.23845,2.02379,2.84763,3.45069,0.00104687,0.00104687,0.00104687
9,146.062,1.22986,1.47743,1.70024,0.53297,0.5,0.42949,0.1885,1.92872,3.80372,3.27052,0.00115756,0.00115756,0.00115756
10,161.944,1.2558,1.50855,1.72492,0.37707,0.625,0.40486,0.18929,1.9818,4.92242,3.44755,0.00126331,0.00126331,0.00126331
11,177.681,1.20765,1.56403,1.67468,0.78208,0.75,0.68291,0.32204,2.21613,3.15467,3.74579,0.00136411,0.00136411,0.00136411
12,193.576,1.13697,1.42651,1.55372,0.66007,0.73021,0.6097,0.27973,1.99526,3.39682,3.76366,0.00136444,0.00136444,0.00136444
13,209.943,1.20518,1.48528,1.65306,0.59316,0.625,0.54,0.26395,1.92499,5.30497,3.83368,0.00133693,0.00133693,0.00133693
14,226.056,1.25539,1.51912,1.69019,0.702,0.625,0.56471,0.23986,2.28812,2.70141,4.46369,0.00130943,0.00130943,0.00130943
15,242.735,1.20339,1.5577,1.64708,0.57465,0.5,0.40966,0.17141,2.45685,4.0192,4.42773,0.00128192,0.00128192,0.00128192
16,261.301,1.30063,1.43436,1.68483,0.57051,0.5,0.48488,0.25328,2.42176,2.85449,4.53056,0.00125442,0.00125442,0.00125442
17,279.378,1.1533,1.30501,1.59102,0.72976,0.625,0.62528,0.3223,2.31145,2.62097,3.37817,0.00122691,0.00122691,0.00122691
18,296.825,1.1591,1.59742,1.59044,0.61299,0.875,0.64632,0.29901,2.30602,2.78983,3.15196,0.00119941,0.00119941,0.00119941
